88,Millennium University,MU,Dhaka,General,Private
89,Primeasia University,PAU,Dhaka,General,Private
90,Royal University of Dhaka,RUD,Dhaka,General,Private
91,United International University,UIU,Dhaka,General,Private
92,University of Information Technology and Sciences,UITS,Dhaka,General,Private
93,"University of South Asia, Bangladesh",USAB,Dhaka,General,Private
94,Presidency University,PU,Dhaka,General,Private
95,Uttara University,UU,Dhaka,General,Private
96,Victoria University of Bangladesh,VUB,Dhaka,General,Private
97,World University of Bangladesh,WUB,Dhaka,General,Private
98,Asa University Bangladesh,ASAUB,Dhaka,General,Private
99,Bangladesh Islami University,BANGLADESHIU,Dhaka,General,Private
100,East Delta University,EASTDU,Chattagram,General,Private
101,Northern University of Business and Technology Khulna,NUB,Khulna,General,Private
102,Britannia University,BU,Comilla,General,Private
103,Feni University,FU,Feni,General,Private
104,Khwaja Yunus Ali University,KYAU,Sirajgonj,General,Private
105,European University of Bangladesh,EUB,Dhaka,General,Private
106,First Capital University Of Bangladesh,FCUB,Chuadanga,General,Private
107,Hamdard University Bangladesh,HUB,Dhaka,General,Private
108,Ishakha International University,IIUB,Kishoreganj,General,Private
109,North East University Bangladesh,NEUB,Sylhet,General,Private
110,"North Western University, Bangladesh",NWU,Khulna,General,Private
111,Port City International University,PCIU,Chattagram,General,Private
112,Varendra University,VU,Rajshahi,General,Private
113,Sonargaon University,SU,Dhaka,General,Private
114,Cox's Bazar International University,CBIU,Cox's Bazar,General,Private
115,Fareast International University,FIU,Dhaka,General,Private
116,German University Bangladesh,GUB,Gazipur,General,Private
117,North Bengal International University,NBIU,Rajshahi,General,Private
118,Notre Dame University Bangladesh,NDUB,Dhaka,General,Private
119,Ranada Prasad Shaha University,RPSU,Narayanganj,General,Private
120,Sheikh Fazilatunnesa Mujib University,SFMMU,Jamalpur,General,Private
121,Times University Bangladesh,TMUB,Faridpur,General,Private
122,Canadian University of Bangladesh,CUB,Dhaka,General,Private
123,Global University Bangladesh,GUB,Barisal,General,Private
124,NPI University of Bangladesh,NPIUB,Manikganj,General,Private
125,Rabindra Maitree University,RMU,Kushtia,General,Private
